RSK_ELMN_NM,RSK_ELMN_GRD,RN_1HR,AIRTP,LOT,LAT,LOTNO_ADDR,ROAD_NM_ADDR
SF20313,L,4,-1,127.0618160785,37.1140804605,경기 평택시 진위면 야막리 658-108,
SF20313,L,4,-1,127.0633410162,37.123158963,경기 평택시 진위면 야막리 335-11,
SF20313,L,4,-1,127.0757416587,37.116972049,경기 평택시 진위면 가곡리 314-1,
SF20313,L,4,-1,127.0494684249,37.104994594,경기 평택시 진위면 하북리 548-3,
SF20313,L,4,-1,127.0612472741,37.1036389605,경기 평택시 진위면 하북리 277,
SF20313,L,4,-1,127.0572901025,37.092156719,경기 평택시 진위면 신리 407-3,
SF20313,L,4,-1,126.9330892223,36.940366099,경기 평택시 현덕면 대안리 824-1,
SF20313,L,4,-1,126.9098760339,36.9135783948,경기 평택시 현덕면 권관리 551-7,
SF20313,L,3,-1,127.1746651034,37.065033466,경기 안성시 양성면 동항리 산 56-27,
SF20313,L,3,-1,127.1358942359,37.056385421,경기 안성시 원곡면 지문리 377-2,
SF20313,L,3,-1,127.1389818111,37.0385456349,경기 안성시 원곡면 외가천리 산 5-3,
SF20313,L,3,-1,127.1379621817,37.034334057,경기 안성시 원곡면 외가천리 산 35-3,
SF20313,L,4,-1,127.4403298347,37.0572439285,경기 안성시 죽산면 용설리 산 234-17,
SF20313,L,4,-1,127.426816898,37.0368313135,경기 안성시 죽산면 당목리 1063,
SF20313,L,3,-1,127.645642629,36.627468443,충북 청주시 상당구 미원면 미원리 710,
SF20313,L,3,-1,127.5702184401,36.8732147995,충북 진천군 초평면 신통리 산 37-1,
SF20313,L,3,-1,127.4923433951,36.812423873,충북 진천군 초평면 화산리 981-1,
SF20313,L,3,-1,127.5112225414,36.8446123575,충북 진천군 초평면 용정리 산 9-34,
SF20313,L,3,-1,127.5149475569,36.778323723,충북 진천군 초평면 진암리 426-7,
SF20313,L,4,-1,127.3953232384,36.954975224,충북 진천군 이월면 신계리 산 57-30,
SF20313,L,4,-1,127.4068818543,36.9444837685,충북 진천군 이월면 신계리 산 32-5,
